imie;nazwisko;plec(KM);ocena;email
Piotr;Cabacki;M;2;abc2@wp.pl
Marlena;Kot;K;2;
Karol;Seba;M;2;abc13@wp.pl
Mateusz;Babacki;M;3;abc3@op.com
Olga;Nowak;K;3;abc4@gmail.pl
Anna;Adamek;K;3;abc5@op.pl
Anna;Adamczyk;K;3;abc6@op.pl
Dominika;Gaweda;K;3;abc18@gmail.pl
Dariusz;Nowakowski;M;3;abc17@wp.pl
Zbigniew;Pies;M;3;
Jolanta;Pies;K;3;abc15@outlook.com
Kamil;Anders;M;4;abc23@vp.pl
Karol;Kozidrak;M;4;
Konrad;Jukatan;M;4;abc21@interia.pl
Patryk;Rural;M;4;abc22@vp.pl
Katarzyna;Korzuchowska;K;4;korzuch@gmail.com
Marlena;Nowak;K;4;abc24@hotmail.com
Michal;Mak;M;4;abc26@hotmail.com
Mariusz;Krzaczek;M;4;
Agata;Kowalska;K;4;abc@op.pl
Dagmara;Sokal;K;4;abc19@gmail.com
Wiktor;Kowalski;M;4;abc12@gmail.pl
Pawel;Socha;M;4;abc11@gmail.pl
Mariola;Mazur;K;4;abc9@interia.pl
Michal;Kowalski;M;5;abc10@op.pl
Bogdan;Cebula;M;5;abc25@hotmail.om
Tadeusz;Krzak;M;5;abc8@vp.pl
Marek;Rak;M;5;abc27@op.pl
Monika;Mazur;K;5;abc7@outlook.com
Edyta;Katar;K;5;abc29@gmail.pl
Pawel;Abacki;M;5;abc1@op.pl
